platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
GB,1998.0,Nintendo,5.89,5.04,3.12,0.59,14.64,31
X360,2010.0,Activision,9.67,3.73,0.11,1.13,14.64,32
PS3,2010.0,Activision,5.98,4.44,0.48,1.83,12.73,32
PC,,Activision,0.58,0.81,0.0,0.24,1.63,32
Wii,2010.0,Activision,0.82,0.47,0.0,0.12,1.4,32
DS,2010.0,Activision,0.54,0.05,0.0,0.04,0.63,32
3DS,2013.0,Nintendo,5.17,4.05,4.34,0.79,14.35,33
PS4,2015.0,Activision,5.77,5.81,0.35,2.31,14.24,34
XOne,2015.0,Activision,4.52,2.09,0.01,0.67,7.3,34
PS3,2015.0,Activision,0.49,0.96,0.07,0.27,1.79,34
X360,2015.0,Activision,1.11,0.48,0.0,0.16,1.76,34
PC,2015.0,Activision,0.0,0.22,0.0,0.01,0.23,34
PS3,2012.0,Activision,4.99,5.88,0.65,2.52,14.03,35
X360,2012.0,Activision,8.25,4.3,0.07,1.12,13.73,35
PC,2012.0,Activision,0.63,0.69,0.0,0.21,1.53,35
WiiU,2012.0,Activision,0.21,0.18,0.0,0.03,0.43,35
X360,2009.0,Activision,8.52,3.63,0.08,1.29,13.51,37
PS3,2009.0,Activision,4.99,3.69,0.38,1.63,10.69,37
PC,2009.0,Activision,0.01,0.79,0.0,0.09,0.89,37
PS2,2001.0,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,39
PC,2002.0,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,39
Wii,2008.0,Nintendo,6.75,2.61,2.66,1.02,13.04,40
DS,2005.0,Nintendo,2.55,3.52,5.33,0.88,12.27,42
3DS,2011.0,Nintendo,4.74,3.91,2.67,0.89,12.21,43
X360,2007.0,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,44
DS,2009.0,Nintendo,4.4,2.77,3.96,0.77,11.9,46
N64,1996.0,Nintendo,6.91,2.85,1.91,0.23,11.89,47
DS,2004.0,Nintendo,5.08,3.11,1.25,0.98,10.42,47
PS2,2004.0,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,48
Wii,2007.0,Nintendo,6.16,3.4,1.2,0.76,11.52,49
3DS,2014.0,Nintendo,4.23,3.37,3.08,0.65,11.33,50
GB,1992.0,Nintendo,6.16,2.04,2.69,0.29,11.18,51
X360,2008.0,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,52
PS3,2008.0,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,52
PC,2008.0,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,52
PS,1997.0,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,53
3DS,2011.0,Nintendo,4.89,2.99,2.13,0.78,10.79,54
PS3,2010.0,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,55
SNES,1993.0,Nintendo,5.99,2.15,2.12,0.29,10.55,58
GBA,2004.0,Nintendo,4.34,2.65,3.15,0.35,10.49,59
Wii,2011.0,Ubisoft,6.05,3.15,0.0,1.07,10.26,61
X360,2011.0,Ubisoft,1.47,0.4,0.0,0.16,2.03,61
PS3,2011.0,Ubisoft,0.33,0.21,0.0,0.09,0.63,61
X360,2013.0,Activision,6.72,2.63,0.04,0.82,10.21,62
PS3,2013.0,Activision,4.09,3.73,0.38,1.38,9.59,62
PS4,2013.0,Activision,1.78,1.42,0.05,0.38,3.63,62
XOne,2013.0,Activision,1.87,0.77,0.0,0.22,2.86,62
PC,2013.0,Activision,0.23,0.41,0.0,0.09,0.73,62
WiiU,2013.0,Activision,0.23,0.09,0.01,0.03,0.36,62
X360,2010.0,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,63
N64,1996.0,Nintendo,5.55,1.94,2.23,0.15,9.87,64
3DS,2012.0,Nintendo,3.66,3.07,2.47,0.63,9.82,65
X360,2012.0,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,66
PS,1997.0,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,67
Wii,2010.0,Ubisoft,5.84,2.89,0.01,0.78,9.52,69
PS,1999.0,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,70
X360,2007.0,Activision,5.91,2.38,0.13,0.9,9.32,71
PS3,2007.0,Activision,3.1,2.3,0.28,1.04,6.72,71
PC,2007.0,Activision,0.0,1.12,0.0,0.03,1.15,71
DS,2007.0,Activision,0.96,0.02,0.01,0.08,1.06,71
SNES,1994.0,Nintendo,4.36,1.71,3.0,0.23,9.3,72
GB,2000.0,Nintendo,1.04,0.72,0.3,0.13,2.19,72
GBA,2003.0,Nintendo,1.2,0.48,0.29,0.07,2.04,72
X360,2013.0,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,73
PS3,2014.0,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,73
PS4,2014.0,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02,73
XOne,2014.0,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41,73
PSV,2014.0,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25,73
WiiU,2016.0,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,73
3DS,2012.0,Nintendo,2.01,2.32,4.36,0.41,9.09,74
DS,2007.0,Nintendo,4.46,1.88,1.98,0.7,9.02,75
X360,2011.0,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,76
PS3,2011.0,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,76
PC,2011.0,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,76
SNES,1992.0,Nintendo,3.54,1.24,3.81,0.18,8.76,77
PS4,2015.0,Electronic Arts,1.11,6.06,0.06,1.26,8.49,78
XOne,2015.0,Electronic Arts,0.88,2.11,0.0,0.23,3.23,78
PS3,2015.0,Electronic Arts,0.4,1.98,0.05,0.42,2.85,78
X360,2015.0,Electronic Arts,0.55,1.01,0.0,0.13,1.69,78
PC,2015.0,Electronic Arts,0.04,0.13,0.0,0.01,0.18,78
Wii,2010.0,Nintendo,1.79,3.53,2.49,0.68,8.49,79
XB,2004.0,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,80
PC,2007.0,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.1,80
Wii,2007.0,Nintendo,3.81,2.3,1.58,0.73,8.42,81
DS,2012.0,Nintendo,2.91,1.86,3.14,0.43,8.33,82
PS3,2012.0,Electronic Arts,1.06,5.05,0.13,2.01,8.24,83
X360,2012.0,Electronic Arts,1.08,3.48,0.03,0.58,5.18,83
Wii,2012.0,Electronic Arts,0.19,0.46,0.0,0.08,0.72,83
WiiU,2012.0,Electronic Arts,0.18,0.26,0.0,0.04,0.48,83
PSV,2012.0,Electronic Arts,0.0,0.3,0.05,0.12,0.47,83
PC,2012.0,Electronic Arts,0.02,0.31,0.0,0.07,0.41,83
PSP,2012.0,Electronic Arts,0.05,0.19,0.02,0.1,0.37,83
3DS,2012.0,Electronic Arts,0.06,0.2,0.0,0.03,0.29,83
PC,2009.0,Electronic Arts,0.98,6.42,0.0,0.71,8.11,84
X360,2010.0,Electronic Arts,1.27,0.86,0.0,0.2,2.33,84
PS3,2010.0,Electronic Arts,0.73,0.97,0.02,0.34,2.06,84
Wii,2010.0,Electronic Arts,0.61,0.73,0.0,0.15,1.49,84
3DS,2011.0,Electronic Arts,0.3,0.37,0.03,0.07,0.76,84
DS,2010.0,Electronic Arts,0.39,0.25,0.0,0.06,0.7,84
N64,1997.0,Nintendo,5.8,2.01,0.13,0.15,8.09,85
Wii,2007.0,Sega,2.58,3.9,0.66,0.91,8.06,86
DS,2008.0,Sega,1.64,2.48,0.44,0.58,5.14,86
PS2,2001.0,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,87
PS,1999.0,SquareSoft,2.28,1.72,3.63,0.23,7.86,88
