platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
PSV,2014.0,5pb,0.0,0.0,0.01,0.0,0.01,13988
PS3,2009.0,Aqua Plus,0.0,0.0,0.04,0.0,0.04,13989
PS3,2012.0,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,13990
PS2,2006.0,Ignition Entertainment,0.02,0.01,0.0,0.0,0.04,13991
PC,2013.0,Daedalic Entertainment,0.0,0.03,0.0,0.0,0.04,13992
PSP,2009.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,13993
PS2,2009.0,Magix,0.02,0.01,0.0,0.0,0.04,13997
PSP,2008.0,Ivolgamus,0.03,0.0,0.0,0.0,0.04,13998
PS2,2006.0,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,13999
PS2,2005.0,Capcom,0.02,0.01,0.0,0.0,0.04,14000
XB,,Capcom,0.01,0.0,0.0,0.0,0.02,14000
DS,2008.0,GungHo,0.0,0.0,0.04,0.0,0.04,14001
PC,2003.0,Microsoft Game Studios,0.01,0.02,0.0,0.0,0.04,14003
DC,2000.0,Sega,0.0,0.0,0.04,0.0,0.04,14004
3DS,2016.0,Happinet,0.0,0.0,0.04,0.0,0.04,14007
PS3,2011.0,Konami Digital Entertainment,0.02,0.01,0.0,0.01,0.04,14008
X360,2011.0,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02,14008
PSP,2007.0,Crave Entertainment,0.03,0.0,0.0,0.0,0.04,14009
DS,2007.0,Crave Entertainment,0.02,0.0,0.0,0.0,0.03,14009
XB,2005.0,Capcom,0.03,0.01,0.0,0.0,0.04,14010
PS3,2007.0,Ubisoft,0.0,0.0,0.04,0.0,0.04,14011
X360,2006.0,Ubisoft,0.0,0.0,0.02,0.0,0.02,14011
GBA,2002.0,Universal Interactive,0.03,0.01,0.0,0.0,0.04,14012
PC,2008.0,2D Boy,0.0,0.03,0.0,0.01,0.04,14013
DS,2007.0,Sega,0.0,0.0,0.04,0.0,0.04,14014
PSP,2011.0,Idea Factory,0.0,0.0,0.04,0.0,0.04,14015
DS,2010.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,14016
PSP,2010.0,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,14017
DS,2011.0,O-Games,0.03,0.0,0.0,0.0,0.04,14018
PS2,2009.0,Idea Factory,0.0,0.0,0.04,0.0,0.04,14019
PC,2007.0,Vivendi Games,0.0,0.03,0.0,0.01,0.04,14020
PS2,2006.0,Sega,0.0,0.0,0.04,0.0,0.04,14022
PC,2008.0,Deep Silver,0.0,0.03,0.0,0.01,0.04,14023
PS2,2004.0,Namco Bandai Games,0.02,0.01,0.0,0.0,0.04,14025
PSV,2015.0,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,14026
PS2,2006.0,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,14027
PS2,2005.0,Ubisoft,0.02,0.01,0.0,0.0,0.04,14028
PSP,2012.0,Capcom,0.0,0.0,0.04,0.0,0.04,14029
PC,2009.0,Ubisoft,0.0,0.03,0.0,0.01,0.04,14030
PS,1996.0,Ocean,0.02,0.01,0.0,0.0,0.04,14031
DS,2010.0,Unknown,0.03,0.0,0.0,0.0,0.04,14032
GBA,2003.0,Ignition Entertainment,0.03,0.01,0.0,0.0,0.04,14033
DS,2006.0,System 3 Arcade Software,0.03,0.0,0.0,0.0,0.04,14035
GEN,1994.0,Sega,0.0,0.0,0.04,0.0,0.04,14036
PC,1998.0,Vivendi Games,0.0,0.03,0.0,0.01,0.04,14038
PS2,2007.0,Banpresto,0.0,0.0,0.04,0.0,0.04,14039
DS,2004.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,14040
X360,2010.0,Cave,0.0,0.0,0.04,0.0,0.04,14042
GBA,2001.0,BAM! Entertainment,0.03,0.01,0.0,0.0,0.04,14045
PSP,2009.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,14047
Wii,,Unknown,0.03,0.0,0.0,0.0,0.04,14048
PS,1999.0,Tecmo Koei,0.02,0.01,0.0,0.0,0.04,14050
PC,2007.0,JoWood Productions,0.0,0.03,0.0,0.01,0.04,14051
DS,2009.0,Majesco Entertainment,0.03,0.0,0.0,0.0,0.04,14052
3DS,2015.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,14055
PC,2006.0,Ubisoft,0.0,0.03,0.0,0.01,0.04,14056
PSP,,Rising Star Games,0.0,0.0,0.04,0.0,0.04,14057
PC,,Unknown,0.0,0.03,0.0,0.0,0.04,14058
PSP,2006.0,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,14059
Wii,2009.0,Ubisoft,0.03,0.0,0.0,0.0,0.04,14060
DS,2009.0,Square Enix,0.0,0.0,0.04,0.0,0.04,14061
DS,2010.0,Ubisoft,0.03,0.0,0.0,0.0,0.04,14062
DS,2008.0,Oxygen Interactive,0.03,0.0,0.0,0.0,0.04,14063
DS,2010.0,ChunSoft,0.0,0.0,0.04,0.0,0.04,14064
PC,2010.0,Kalypso Media,0.0,0.03,0.0,0.01,0.04,14065
PSP,2010.0,Yeti,0.0,0.0,0.04,0.0,0.04,14066
DS,2011.0,Avanquest,0.0,0.03,0.0,0.0,0.04,14067
GBA,2003.0,THQ,0.03,0.01,0.0,0.0,0.04,14069
DS,2008.0,DTP Entertainment,0.0,0.03,0.0,0.0,0.04,14070
Wii,2010.0,DTP Entertainment,0.01,0.01,0.0,0.0,0.02,14070
DS,2009.0,Deep Silver,0.03,0.0,0.0,0.0,0.04,14071
DS,2008.0,Global A Entertainment,0.04,0.0,0.0,0.0,0.04,14072
PC,1998.0,Interplay,0.01,0.02,0.0,0.01,0.04,14073
DS,2005.0,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.04,14074
PSV,2016.0,PQube,0.02,0.01,0.0,0.01,0.04,14075
PS3,2016.0,PQube,0.01,0.01,0.0,0.0,0.03,14075
PS4,2016.0,PQube,0.02,0.0,0.0,0.0,0.02,14075
DS,2007.0,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.04,14077
PC,2011.0,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,14078
PC,2008.0,JoWood Productions,0.0,0.03,0.0,0.01,0.04,14079
PS2,2007.0,THQ,0.02,0.01,0.0,0.0,0.04,14080
PSP,2007.0,THQ,0.03,0.0,0.0,0.0,0.03,14080
XB,2003.0,THQ,0.03,0.01,0.0,0.0,0.04,14081
DS,2004.0,Ignition Entertainment,0.03,0.0,0.0,0.0,0.04,14083
PS4,2015.0,Ubisoft,0.0,0.03,0.0,0.01,0.04,14085
PS2,2006.0,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,14087
XB,2006.0,DreamCatcher Interactive,0.03,0.01,0.0,0.0,0.04,14088
DS,,Unknown Publisher,0.0,0.0,0.04,0.0,0.04,14089
PS2,2003.0,Jester Interactive,0.02,0.01,0.0,0.0,0.04,14090
PSP,2012.0,Prototype,0.0,0.0,0.04,0.0,0.04,14093
PS2,2011.0,Prototype,0.0,0.0,0.01,0.0,0.01,14093
PS4,2016.0,Telltale Games,0.01,0.02,0.0,0.01,0.04,14094
PS3,2016.0,Telltale Games,0.0,0.01,0.0,0.0,0.01,14094
GEN,1994.0,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,14095
DS,2011.0,Idea Factory,0.0,0.0,0.04,0.0,0.04,14096
PC,2014.0,Ubisoft,0.0,0.03,0.0,0.0,0.04,14097
DS,2009.0,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04,14099
PS2,2006.0,Kando Games,0.02,0.01,0.0,0.0,0.03,14102
DS,2013.0,D3Publisher,0.0,0.03,0.0,0.0,0.03,14103
WiiU,2013.0,D3Publisher,0.0,0.02,0.0,0.0,0.03,14103
PS3,2013.0,D3Publisher,0.0,0.02,0.0,0.0,0.02,14103
Wii,2013.0,D3Publisher,0.0,0.02,0.0,0.0,0.02,14103
3DS,2013.0,D3Publisher,0.0,0.01,0.0,0.0,0.02,14103
X360,2013.0,D3Publisher,0.0,0.01,0.0,0.0,0.01,14103
Wii,2008.0,Jaleco,0.0,0.0,0.03,0.0,0.03,14104
GBA,2001.0,Activision,0.03,0.01,0.0,0.0,0.03,14107
PS3,2013.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14108
X360,2012.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14108
Wii,2010.0,O-Games,0.03,0.0,0.0,0.0,0.03,14109
3DS,2015.0,Shogakukan,0.0,0.0,0.03,0.0,0.03,14110
PS3,2010.0,Unknown,0.0,0.0,0.03,0.0,0.03,14111
PC,2011.0,Paradox Interactive,0.0,0.03,0.0,0.01,0.03,14112
DS,2008.0,HMH Interactive,0.0,0.03,0.0,0.0,0.03,14113
PS3,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14117
DS,2009.0,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,14119
PS2,2004.0,Atari,0.02,0.01,0.0,0.0,0.03,14121
SAT,1998.0,ESP,0.0,0.0,0.03,0.0,0.03,14122
PSP,2006.0,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,14123
GBA,2005.0,Game Factory,0.02,0.01,0.0,0.0,0.03,14124
3DS,2014.0,Office Create,0.0,0.0,0.03,0.0,0.03,14126
PC,2001.0,Eidos Interactive,0.0,0.03,0.0,0.01,0.03,14127
PSP,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14128
DS,2008.0,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,14129
GBA,2002.0,Hudson Soft,0.0,0.0,0.03,0.0,0.03,14130
GBA,2003.0,Banpresto,0.02,0.01,0.0,0.0,0.03,14131
DS,2007.0,10TACLE Studios,0.0,0.03,0.0,0.0,0.03,14132
PC,2008.0,Mamba Games,0.0,0.03,0.0,0.01,0.03,14134
PS2,2006.0,Daito,0.0,0.0,0.03,0.0,0.03,14136
Wii,2010.0,Nordic Games,0.03,0.0,0.0,0.0,0.03,14137
GBA,2005.0,Crave Entertainment,0.02,0.01,0.0,0.0,0.03,14138
PS4,2016.0,Capcom,0.03,0.0,0.0,0.01,0.03,14140
XOne,2016.0,Capcom,0.01,0.0,0.0,0.0,0.01,14140
DS,2008.0,Midas Interactive Entertainment,0.0,0.03,0.0,0.0,0.03,14142
PS4,2014.0,Focus Home Interactive,0.0,0.03,0.0,0.0,0.03,14144
PS3,2014.0,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,14144
PS3,2012.0,Fields,0.0,0.0,0.03,0.0,0.03,14145
PSV,2015.0,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,14147
PS3,2007.0,Genki,0.0,0.0,0.03,0.0,0.03,14149
PS2,2002.0,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,14150
XB,2002.0,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,14150
Wii,2007.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14153
PS,1998.0,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,14154
3DS,2012.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,14156
DS,2006.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14159
PS2,2009.0,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,14160
PC,2006.0,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,14161
GBA,,THQ,0.02,0.01,0.0,0.0,0.03,14162
PS2,2006.0,Princess Soft,0.0,0.0,0.03,0.0,0.03,14163
PC,2001.0,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,14164
PS2,2002.0,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,14165
PSP,2008.0,Destineer,0.03,0.0,0.0,0.0,0.03,14167
PS2,2008.0,Destineer,0.01,0.01,0.0,0.0,0.03,14167
DS,2008.0,505 Games,0.03,0.0,0.0,0.0,0.03,14169
3DS,2012.0,Maximum Family Games,0.03,0.0,0.0,0.0,0.03,14170
PSV,2015.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,14173
WS,2001.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14174
DS,2011.0,Hudson Soft,0.0,0.0,0.03,0.0,0.03,14175
PSV,2015.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,14177
PS2,2003.0,Atari,0.02,0.01,0.0,0.0,0.03,14178
XB,2003.0,Atari,0.01,0.0,0.0,0.0,0.02,14178
PSP,2006.0,Ubisoft,0.03,0.0,0.0,0.0,0.03,14179
XB,2005.0,Hip Interactive,0.03,0.01,0.0,0.0,0.03,14181
PS2,2007.0,Spike,0.0,0.0,0.03,0.0,0.03,14182
DS,2011.0,Unknown,0.03,0.0,0.0,0.0,0.03,14183
Wii,2007.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14184
PS2,2007.0,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,14186
PC,2011.0,Avanquest,0.01,0.02,0.0,0.01,0.03,14187
PS2,2004.0,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,14189
PS2,2004.0,Capcom,0.02,0.01,0.0,0.0,0.03,14190
DS,2008.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14191
PS,1996.0,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,14192
3DS,2013.0,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,14193
DS,2005.0,Nintendo,0.01,0.0,0.02,0.0,0.03,14194
PS3,2011.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,14196
PSP,2011.0,Comfort,0.0,0.0,0.03,0.0,0.03,14199
GBA,2001.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14201
PSP,2009.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14202
GBA,2002.0,Conspiracy Entertainment,0.02,0.01,0.0,0.0,0.03,14203
PSV,2016.0,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,14204
PSP,2013.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,14205
PSV,2015.0,Idea Factory,0.0,0.0,0.02,0.0,0.02,14205
PSP,2006.0,Banpresto,0.0,0.0,0.03,0.0,0.03,14206
DS,2008.0,Phenomedia,0.03,0.0,0.0,0.0,0.03,14209
3DS,2014.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14210
DS,2008.0,Arc System Works,0.0,0.0,0.03,0.0,0.03,14211
PSP,2007.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,14212
PS,2001.0,Berkeley,0.02,0.01,0.0,0.0,0.03,14213
PC,2009.0,bitComposer Games,0.0,0.03,0.0,0.01,0.03,14214
PS3,2012.0,Sega,0.0,0.0,0.03,0.0,0.03,14215
PS2,2007.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14216
PS,1996.0,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,14219
PS2,2007.0,Hackberry,0.0,0.0,0.03,0.0,0.03,14220
SNES,1994.0,Culture Brain,0.0,0.0,0.03,0.0,0.03,14221
X360,2011.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14223
DS,2008.0,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03,14224
PS,1998.0,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,14225
GBA,2005.0,Play It,0.02,0.01,0.0,0.0,0.03,14227
3DS,2013.0,Agatsuma Entertainment,0.0,0.0,0.03,0.0,0.03,14228
PS,1995.0,Fuji,0.0,0.0,0.03,0.0,0.03,14229
PS4,2015.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14230
PS3,2015.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14230
3DS,2011.0,D3Publisher,0.0,0.03,0.0,0.0,0.03,14231
PSP,2009.0,Aqua Plus,0.0,0.0,0.03,0.0,0.03,14232
SNES,1994.0,Banpresto,0.0,0.0,0.03,0.0,0.03,14233
PS2,2002.0,Capcom,0.02,0.01,0.0,0.0,0.03,14234
DS,2008.0,Aspyr,0.03,0.0,0.0,0.0,0.03,14235
PS4,2016.0,Dusenberry Martin Racing,0.03,0.0,0.0,0.01,0.03,14236
XOne,2016.0,Dusenberry Martin Racing,0.02,0.0,0.0,0.0,0.02,14236
DS,2009.0,Alchemist,0.0,0.0,0.03,0.0,0.03,14237
PC,2006.0,Electronic Arts,0.0,0.03,0.0,0.01,0.03,14238
Wii,2007.0,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,14239
DS,2008.0,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,14239
DS,2010.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14242
PSP,2006.0,Daito,0.0,0.0,0.03,0.0,0.03,14243
Wii,2010.0,Nordic Games,0.03,0.0,0.0,0.0,0.03,14245
PS3,2015.0,Tru Blu Entertainment,0.0,0.03,0.0,0.0,0.03,14247
X360,2015.0,Tru Blu Entertainment,0.0,0.03,0.0,0.0,0.03,14247
PS4,2015.0,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,14247
XOne,2015.0,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,14247
PS,1996.0,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,14248
XB,2003.0,Microsoft Game Studios,0.0,0.0,0.03,0.0,0.03,14250
PS3,2015.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14251
PC,2012.0,Unknown,0.0,0.03,0.0,0.0,0.03,14252
GBA,2002.0,LSP Games,0.02,0.01,0.0,0.0,0.03,14253
GBA,2006.0,Electronic Arts,0.02,0.01,0.0,0.0,0.03,14254
Wii,2008.0,Rondomedia,0.03,0.0,0.0,0.0,0.03,14255
Wii,2011.0,Unknown,0.03,0.0,0.0,0.0,0.03,14257
X360,2008.0,RTL,0.03,0.0,0.0,0.0,0.03,14258
GBA,2002.0,Vivendi Games,0.02,0.01,0.0,0.0,0.03,14259
DS,2006.0,Game Factory,0.03,0.0,0.0,0.0,0.03,14260
3DS,2013.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14261
3DS,2014.0,imageepoch Inc.,0.0,0.0,0.03,0.0,0.03,14262
DS,2007.0,Nintendo,0.0,0.0,0.03,0.0,0.03,14263
PSP,2005.0,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.03,14266
PC,2007.0,Paradox Interactive,0.0,0.03,0.0,0.01,0.03,14267
PC,2006.0,Sega,0.0,0.03,0.0,0.01,0.03,14268
DS,2010.0,Mindscape,0.02,0.01,0.0,0.0,0.03,14269
PC,2007.0,Focus Home Interactive,0.01,0.02,0.0,0.01,0.03,14270
WiiU,2015.0,Level 5,0.0,0.0,0.03,0.0,0.03,14271
DS,2007.0,Rising Star Games,0.0,0.0,0.03,0.0,0.03,14272
DS,2009.0,Zushi Games,0.03,0.01,0.0,0.0,0.03,14274
DS,2010.0,Ubisoft,0.03,0.0,0.0,0.0,0.03,14275
3DS,,Unknown,0.0,0.0,0.03,0.0,0.03,14276
PC,2014.0,Big Fish Games,0.0,0.03,0.0,0.0,0.03,14277
PS3,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14279
DS,2010.0,Foreign Media Games,0.02,0.01,0.0,0.0,0.03,14280
GC,2002.0,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.03,14281
GBA,2002.0,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,14281
3DS,2013.0,Office Create,0.0,0.0,0.03,0.0,0.03,14282
DS,2007.0,TDK Core,0.0,0.0,0.03,0.0,0.03,14283
PC,2011.0,Her Interactive,0.03,0.0,0.0,0.0,0.03,14285
PSP,2004.0,505 Games,0.03,0.0,0.0,0.0,0.03,14287
GC,2003.0,Capcom,0.03,0.01,0.0,0.0,0.03,14288
PS2,2008.0,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,14290
PS2,2006.0,505 Games,0.02,0.01,0.0,0.0,0.03,14291
DS,2007.0,Atari,0.03,0.0,0.0,0.0,0.03,14292
DS,2007.0,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,14293
3DS,2015.0,Rocket Company,0.0,0.0,0.03,0.0,0.03,14294
PS,2000.0,Tecmo Koei,0.02,0.01,0.0,0.0,0.03,14295
DS,2010.0,Unknown,0.03,0.0,0.0,0.0,0.03,14296
DS,2008.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14297
DS,2006.0,Spike,0.0,0.0,0.03,0.0,0.03,14298
DS,,Unknown Publisher,0.0,0.0,0.03,0.0,0.03,14299
PS3,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14300
PSP,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14300
GBA,2005.0,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,14301
DS,2005.0,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02,14301
PC,2009.0,505 Games,0.01,0.02,0.0,0.01,0.03,14302
DS,2008.0,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,14303
3DS,2016.0,Nintendo,0.02,0.01,0.01,0.0,0.03,14304
XB,2004.0,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,14305
DS,2008.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14307
PSP,2007.0,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,14308
3DS,2016.0,Sega,0.03,0.0,0.0,0.0,0.03,14309
GBA,2001.0,Swing! Entertainment,0.02,0.01,0.0,0.0,0.03,14310
PC,2011.0,Focus Home Interactive,0.0,0.02,0.0,0.01,0.03,14311
DS,2012.0,Reef Entertainment,0.0,0.03,0.0,0.0,0.03,14312
PS3,2012.0,Reef Entertainment,0.0,0.02,0.0,0.01,0.03,14312
PC,2012.0,Reef Entertainment,0.0,0.02,0.0,0.0,0.03,14312
Wii,2012.0,Reef Entertainment,0.0,0.01,0.0,0.0,0.01,14312
DS,2010.0,Kamui,0.0,0.0,0.03,0.0,0.03,14313
DS,2012.0,Unknown Publisher,0.03,0.0,0.0,0.0,0.03,14314
X360,,Unknown,0.03,0.0,0.0,0.0,0.03,14315
PC,2009.0,Paradox Interactive,0.01,0.0,0.0,0.0,0.02,14315
PSV,2016.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14316
PS2,2008.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14317
X360,2009.0,PopCap Games,0.03,0.0,0.0,0.0,0.03,14318
3DS,2013.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14319
SAT,1996.0,ASK,0.0,0.0,0.03,0.0,0.03,14320
DS,2007.0,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,14321
SAT,1998.0,Compile,0.0,0.0,0.03,0.0,0.03,14323
DS,2008.0,UFO Interactive,0.03,0.0,0.0,0.0,0.03,14325
XB,2005.0,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,14326
PS2,2008.0,Kadokawa Shoten,0.0,0.0,0.03,0.0,0.03,14327
3DS,2012.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14328
GBA,2005.0,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,14329
PC,2002.0,Atari,0.0,0.03,0.0,0.01,0.03,14330
PC,2010.0,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,14331
PC,2013.0,Headup Games,0.0,0.03,0.0,0.0,0.03,14333
PS2,2008.0,Hackberry,0.0,0.0,0.03,0.0,0.03,14334
DS,2007.0,UFO Interactive,0.03,0.0,0.0,0.0,0.03,14335
PSP,2010.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,14337
PC,1985.0,Activision,0.0,0.03,0.0,0.01,0.03,14338
SAT,1995.0,Sega,0.0,0.0,0.03,0.0,0.03,14340
DS,2010.0,Arc System Works,0.01,0.0,0.02,0.0,0.03,14341
DS,2008.0,Square Enix,0.0,0.0,0.03,0.0,0.03,14342
PSV,2013.0,FuRyu,0.0,0.0,0.03,0.0,0.03,14343
3DS,2013.0,FuRyu,0.0,0.0,0.01,0.0,0.01,14343
DS,2007.0,Konami Digital Entertainment,0.01,0.0,0.02,0.0,0.03,14344
DS,2010.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14346
PS3,2009.0,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,14348
PS2,2007.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,14349
PSV,2013.0,Rising Star Games,0.0,0.0,0.03,0.0,0.03,14351
PS3,2010.0,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,14352
PSV,2015.0,Kaga Create,0.0,0.0,0.03,0.0,0.03,14353
PS2,2006.0,Codemasters,0.02,0.01,0.0,0.0,0.03,14354
DS,2008.0,Oxygen Interactive,0.01,0.02,0.0,0.0,0.03,14356
GBA,2005.0,Atari,0.02,0.01,0.0,0.0,0.03,14357
PS,1996.0,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,14358
SNES,1996.0,KSS,0.0,0.0,0.03,0.0,0.03,14359
PSV,2015.0,PQube,0.0,0.02,0.01,0.0,0.03,14361
3DS,2015.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14362
PSP,2006.0,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,14364
PSP,2006.0,Global A Entertainment,0.03,0.0,0.0,0.0,0.03,14365
X360,2009.0,Cave,0.0,0.0,0.03,0.0,0.03,14366
PC,2003.0,Ubisoft,0.0,0.03,0.0,0.01,0.03,14369
PSP,2013.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14370
PC,2011.0,Unknown,0.0,0.02,0.0,0.01,0.03,14374
PSP,2013.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,14376
PS3,2014.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,14378
Wii,2007.0,Nintendo,0.0,0.0,0.03,0.0,0.03,14379
PSP,,Unknown,0.0,0.0,0.03,0.0,0.03,14380
DS,2008.0,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,14381
3DS,2015.0,Rocket Company,0.0,0.0,0.03,0.0,0.03,14382
DS,2008.0,Pinnacle,0.0,0.03,0.0,0.0,0.03,14383
PC,2003.0,Vivendi Games,0.0,0.03,0.0,0.01,0.03,14384
PSV,2015.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,14385
PC,2016.0,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,14386
Wii,2010.0,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,14387
PSP,2010.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,14388
PS2,2010.0,D3Publisher,0.0,0.0,0.01,0.0,0.01,14388
PSP,2010.0,Yeti,0.0,0.0,0.03,0.0,0.03,14390
PS2,2006.0,Interchannel,0.0,0.0,0.03,0.0,0.03,14392
PS4,2017.0,Sega,0.0,0.0,0.03,0.0,0.03,14393
PSV,2017.0,Sega,0.0,0.0,0.01,0.0,0.01,14393
DS,2011.0,Avanquest,0.0,0.03,0.0,0.0,0.03,14394
PSV,2014.0,5pb,0.0,0.0,0.03,0.0,0.03,14395
PS3,2014.0,5pb,0.0,0.0,0.03,0.0,0.03,14395
PSV,2015.0,Cygames,0.0,0.0,0.03,0.0,0.03,14397
X360,2008.0,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,14399
PSP,2010.0,Idea Factory,0.03,0.0,0.0,0.0,0.03,14400
PS2,2002.0,Kemco,0.02,0.01,0.0,0.0,0.03,14401
XB,2002.0,Kemco,0.01,0.0,0.0,0.0,0.01,14401
GC,2002.0,Kemco,0.01,0.0,0.0,0.0,0.01,14401
Wii,2010.0,Zoo Games,0.03,0.0,0.0,0.0,0.03,14403
